Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  2.27   1234.81    31.76                             RankItem<unsigned int>::get_pidx0(int) const
  2.05   1263.39    28.58                             HierarQueue::HierarQueue(int, int)
  1.70   1287.12    23.74                             RankItem<unsigned short>::print() const
  1.60   1309.52    22.40                             _ZN3pmt18next_nonempty_slotIZNS_12parallel_forIiZNS_17RadixSortParallelILj11EPiPNS_8SortPairIjiEEiZNS_13rank_to_indexILj11EPNS_9SortValueIjEEiS3_S6_EEvT0_T1_T2_hhT3_jEUliE_ZNS7_ILj11ESA_iS3_S6_EEvSB_SC_SD_hhSE_jEUlRiRKS5_E0_E13scatter_digitIS6_SF_ZNSK_11sort_digitsEvEUlRS5_SI_E0_EEvT_hRKSB_RKSC_EUlijE_EEvSO_SQ_jjEUlNS_3DimIiiLm1EEEjE_SV_EEjRNS_10ThreadDataISO_SB_EEj
  1.19   1326.18    16.66                             void* pmt::init_f<pmt::parallel_for<int, pmt::RadixSortParallel<11u, int*, pmt::SortPair<unsigned int, int>*, int, pmt::rank_to_index<11u, pmt::SortValue<unsigned int>*, int, int*, pmt::SortPair<unsigned int, int>*>(pmt::SortValue<unsigned int>*, int, int*, unsigned char, unsigned char, pmt::SortPair<unsigned int, int>*, unsigned int)::{lambda(int)#1}, pmt::rank_to_index<11u, pmt::SortValue<unsigned int>*, int, int*, pmt::SortPair<unsigned int, int>*>(pmt::SortValue<unsigned int>*, int, int*, unsigned char, unsigned char, pmt::SortPair<unsigned int, int>*, unsigned int)::{lambda(int&, pmt::SortPair<unsigned int, int> const&)#2}>::scatter_digit<int*, {lambda(int)#1}, pmt::SortPair<unsigned int, int> const&>(int*, unsigned char, {lambda(int)#1} const&, pmt::SortPair<unsigned int, int> const& const&)::{lambda(int, unsigned int)#1}>(pmt::RadixSortParallel<11u, int*, pmt::SortPair<unsigned int, int>*, int, pmt::rank_to_index<11u, pmt::SortValue<unsigned int>*, int, int*, pmt::SortPair<unsigned int, int>*>(pmt::SortValue<unsigned int>*, int, int*, unsigned char, unsigned char, pmt::SortPair<unsigned int, int>*, unsigned int)::{lambda(int)#1}, pmt::rank_to_index<11u, pmt::SortValue<unsigned int>*, int, int*, pmt::SortPair<unsigned int, int>*>(pmt::SortValue<unsigned int>*, int, int*, unsigned char, unsigned char, pmt::SortPair<unsigned int, int>*, unsigned int)::{lambda(int&, pmt::SortPair<unsigned int, int> const&)#2}>, int, unsigned int, unsigned int)::{lambda(pmt::Dim<int, int, 1ul>, unsigned int)#1}, {lambda(int, unsigned int)#1}>(pmt::Dim)
  1.10   1341.59    15.41                             AlphaTree<unsigned short>::set_isAvailable(unsigned char*, int, int)
  0.77   1352.37    10.79                             RankItem<unsigned short>::get_pidx0(int) const
  0.76   1362.98    10.61                             AlphaTree<unsigned short>::compute_dimg(unsigned short*, int*, unsigned short const*)
  0.70   1372.72     9.74                             AlphaTree<unsigned short>::computePartitionSize(int)
  0.31   1377.07     4.35                             AlphaTree<unsigned short>::connectPix2Node(int, unsigned short, int, unsigned short)
  0.23   1380.35     3.28                             AlphaTree<unsigned short>::get_field(unsigned char*, int)
  0.22   1383.49     3.14                             AlphaNode<unsigned char>::add(AlphaNode<unsigned char>*)
  0.17   1385.80     2.31                             AlphaTree<unsigned short>::set_field(unsigned char*, int, unsigned char)
  0.14   1387.77     1.97                             AlphaNode<unsigned char>::add(AlphaNode<unsigned char> const&)
  0.14   1389.69     1.92                             RankItem<unsigned short>::RankItem(int, unsigned short)
  0.13   1391.57     1.88                             AlphaTree<unsigned short>::is_available(unsigned char, unsigned char) const
  0.12   1393.20     1.63                             HierarQueue::HierarQueue(int*, int)
  0.12   1394.81     1.62                             RankItem<unsigned short>::operator<(RankItem<unsigned short> const&) const
  0.06   1395.61     0.80                             Cache_Hierqueue_l1<unsigned char>::push(int, int)
  0.05   1396.28     0.67                             Cache_Hierqueue_l1<unsigned char>::~Cache_Hierqueue_l1()
  0.04   1396.90     0.62                             Cache_Hierqueue_l1<unsigned char>::pop()
  0.01   1397.06     0.16                             Cache_Hierqueue_l1<unsigned char>::endPushes()
  0.01   1397.19     0.13                             Cache_Hierqueue_l1<unsigned char>::startPushes()
